"region","Year","decile","rent_own_ratio"
520,2001,5,0.068907363001605
520,2001,6,0.137592878159974
520,2001,7,0.089143022599898
520,2001,8,0
520,2001,9,0
520,2003,0,1.84571820465553
520,2003,1,1.00749342105308
520,2003,2,0.258706320739135
520,2003,3,0.537022771926393
520,2003,4,0.304635492830856
520,2003,5,0.134119807968565
520,2003,6,0.0698865347730364
520,2003,7,0.0578909235870649
520,2003,8,0.074425975732196
520,2003,9,0
520,2005,0,1.96340943478361
520,2005,1,1.12282800526852
520,2005,2,0.586230097883801
520,2005,3,0.347972679164145
520,2005,4,0.24284410430555
520,2005,5,0.267751740359158
520,2005,6,0.0544461821461341
520,2005,7,0.0900733671537242
520,2005,8,0.208505227079757
520,2005,9,0
520,2007,0,0.710805783111223
520,2007,1,0.828931260267057
520,2007,2,0.183101243586765
520,2007,3,0.997797445050578
520,2007,4,0.480300409282337
520,2007,5,0.0607313652896477
520,2007,6,0.26833881241524
520,2007,7,0
520,2007,8,0
520,2007,9,0
520,2009,0,0.715913332078602
520,2009,1,0.431583734940879
520,2009,2,0.365913043299323
520,2009,3,0.658351360680059
520,2009,4,0.0611734843859927
520,2009,5,0.232165367517447
520,2009,6,0.346721795850527
520,2009,7,0.346367260367362
520,2009,8,0
520,2009,9,0
520,2011,0,1.78789446300171
520,2011,1,0.961929370033162
520,2011,2,0.99667051084347
520,2011,3,0.13486411003804
520,2011,4,0.336228885004941
520,2011,5,0.173252358510691
520,2011,6,0.426187150900372
520,2011,7,0.476136264398752
520,2011,8,0
520,2011,9,0.253002771103492
520,2013,0,0.525381580624437
520,2013,1,1.82522490219174
520,2013,2,0.493654024652106
520,2013,3,0.367612590970767
520,2013,4,0.496377330056287
520,2013,5,0.138347057963652
520,2013,6,0.360313764798334
520,2013,7,0.120367841554091
520,2013,8,0.191083525911081
520,2013,9,0.0415350552853333
720,1985,0,0.468740922256649
720,1985,1,0.278543342971857
720,1985,2,0.331005192260666
720,1985,3,0.103795570136723
720,1985,4,0.330919716833866
720,1985,5,0.208284504918461
720,1985,6,0.121344553927208
720,1985,7,0.123435510337673
720,1985,8,0.0714493073001601
720,1985,9,0
720,1987,0,0.236893227312765
720,1987,1,0.342220178362962
720,1987,2,0.579766440328039
720,1987,3,0.203502913584849
720,1987,4,0.297333180482395
720,1987,5,0.217505295551737
720,1987,6,0.0653729739058627
720,1987,7,0.0638389857519425
720,1987,8,0.0608098570193316
720,1987,9,0
720,1989,0,0.316290707583062
720,1989,1,0.608068067299548
720,1989,2,0.209736194207656
720,1989,3,0.282212344385147
720,1989,4,0.135672193647083
720,1989,5,0.347485739661613
720,1989,6,0.0628166568815613
720,1989,7,0.0452470938732777
720,1989,8,0.0771800855292554
720,1989,9,0
720,1991,0,1.09094021655669
720,1991,1,0.156413782884801
720,1991,2,0.141939429618001
720,1991,3,0.445461713998522
720,1991,4,0
720,1991,5,0.261968609742855
720,1991,6,0.135093425964047
720,1991,7,0
720,1991,8,0.207021010624489
720,1991,9,0
720,1993,0,0.526921625594838
720,1993,1,0.331487536356794
720,1993,2,0.078917771917767
720,1993,3,0.338838967052327
720,1993,4,0.145978849186234
720,1993,5,0.129800588273823
720,1993,6,0.160967108040763
720,1993,7,0.181031413160258
720,1993,8,0
720,1993,9,0
720,1995,0,0.39446220171778
720,1995,1,0.132074177795376
720,1995,2,0.139653612908708
720,1995,3,0.206097301717336
720,1995,4,0.202227529343978
720,1995,5,0.0579680924255072
720,1995,6,0.0748311598327465
720,1995,7,0.129131655495
720,1995,8,0.0571756605357452
720,1995,9,0
720,1997,0,0.431864946825647
720,1997,1,0.286228088374108
720,1997,2,0
720,1997,3,0.128967980789273
720,1997,4,0.148072876831138
720,1997,5,0
720,1997,6,0.120429184665822
720,1997,7,0.125172215520647
720,1997,8,0
720,1997,9,0
720,1999,0,0.592005085019331
720,1999,1,0.295483690534174
720,1999,2,0.448103112125367
720,1999,3,0
720,1999,4,0.204828087319246
720,1999,5,0.0762079210844738
720,1999,6,0.0764180673023313
720,1999,7,0.0781709875729157
720,1999,8,0
720,1999,9,0
720,2001,0,1.23570518373556
720,2001,1,0.211518910531117
720,2001,2,0.214669101317928
720,2001,3,0.14185863903993
720,2001,4,0.112162308906394
720,2001,5,0.140537945056705
720,2001,6,0.438438524633062
720,2001,7,0
720,2001,8,0
720,2001,9,0.0706086580116071
720,2003,0,2.19772399886767
720,2003,1,0.934149816202247
720,2003,2,0.0831669007143429
720,2003,3,0.198896360950941
720,2003,4,0.0695081800244929
720,2003,5,0.179452374557932
720,2003,6,0.081783734276451
720,2003,7,0.0654316370205264
720,2003,8,0
720,2003,9,0
720,2005,0,0.10738466430587
720,2005,1,0.384391677307668
720,2005,2,0.3824569106027
720,2005,3,0.225862536557696
720,2005,4,0.380566231076837
720,2005,5,0
720,2005,6,0
720,2005,7,0.112116856488942
720,2005,8,0
720,2005,9,0
720,2007,0,0.599370222820349
720,2007,1,0.399754545251653
720,2007,2,0.833200770063718
720,2007,3,0.329331624580662
720,2007,4,0.196770688711348
720,2007,5,0.0973498110179283
720,2007,6,0.096460874818433
720,2007,7,0
720,2007,8,0.173626592381043
720,2007,9,0
720,2009,0,0.617777490585704
720,2009,1,0.202322467169271
720,2009,2,0.195109275310377
720,2009,3,0.0783512185882984
720,2009,4,0.196990387664311
720,2009,5,0.21682113424253
720,2009,6,0
720,2009,7,0
720,2009,8,0.0788718293868205
720,2009,9,0
720,2011,0,2.56124103378605
720,2011,1,0.923647887245949
720,2011,2,0.678939820589573
720,2011,3,0.210425389839229
720,2011,4,0.0710604982551946
720,2011,5,0.206259348348344
720,2011,6,0.140233631644899
720,2011,7,0.111214462564651
720,2011,8,0.0567539502934854
720,2011,9,0
720,2013,0,1.36814448532063
720,2013,1,1.05849580986492
720,2013,2,0.699465830620235
720,2013,3,0.610184937753725
720,2013,4,0.0703266701573208
720,2013,5,0.309421374682072
720,2013,6,0.246014077828575
720,2013,7,0
720,2013,8,0
720,2013,9,0.169126338465485
1120,1985,0,0.126609873718337
1120,1985,1,0.0497529512913508
1120,1985,2,0.114847317778616
