"region","Year","rp_median","WEIGHT"
35620,1985,0.0575963910168569,1961021.15
35620,1987,0.0437067411247616,1914491.04
35620,1989,0.0459386730774825,1942954.48
35620,1991,0.0545310125348381,1841719.58
35620,1993,0.0553422237980422,1841551.35
35620,1995,0.0606707296337787,1958387.83
35620,1997,0.065111105917638,1638929.96305092
35620,1999,0.067715518528255,1755369.13661799
35620,2001,0.060714706654772,1931070.32531698
35620,2003,0.0439864586901288,1998524.5037577
35620,2005,0.0392637742885216,1969508.57789303
35620,2007,0.0340646302995511,2100542.13291342
35620,2009,0.0403584112017647,1478573.61104276
35620,2011,0.0460034842317799,2106126.88308625
35620,2013,0.0435024780274969,1040619.42183043
35620,2015,0.0502558848466097,27954656.3488405
35620,2017,0.0526958966212907,28319773.9626616
35620,2019,0.0474404213912823,28252177.5887274
37980,1985,0.0679925246079304,645973.12
