"region","Year","rp_median","WEIGHT"
2160,1997,0.0710109857718571,1049640.06886088
2160,1999,0.0687007518766061,1032727.32453451
2160,2001,0.0629519925539702,1211303.84561803
2160,2003,0.0664349162037832,1112642.09184999
2160,2005,0.0645510626079722,1249645.23793645
2160,2007,0.0685016975794758,1217492.53351723
2160,2009,0.104185749147916,1033531.29647341
2160,2011,0.108524883063921,1223574.75759153
2160,2013,0.117789949285764,1169792.45942951
3360,1985,0.0818281219264405,570991.32
3360,1987,0.0937156621019493,610217.18
3360,1989,0.111115042803158,620296.55
3360,1991,0.131911608360417,646138.76
3360,1993,0.12009029994128,609901.07
3360,1995,0.121570064171119,608570.39
3360,1997,0.129627398202364,436038.4747278
3360,1999,0.129282171336506,538129.7843998
3360,2001,0.108793407513168,562030.6799662
3360,2003,0.102152363749008,519159.066002
3360,2005,0.109342593799528,501552.7426852
3360,2007,0.105642273023354,546829.340686
3360,2009,0.122732691981169,508763.8790941
3360,2011,0.116348386529948,572080.7723296
3360,2013,0.121752145695808,655242.7904277
3760,1985,0.086126942735174,361205.91
3760,1987,0.0890064685680606,367211.52
3760,1989,0.0995219049316941,376443.19
3760,1991,0.093942228158439,338468.01
3760,1993,0.102119344967805,329642.29
3760,1995,0.115020615057915,346670.44
3760,1997,0.0938186959541193,287324.6343328
3760,1999,0.0974172750694886,263403.7567248
3760,2001,0.0964193982628805,327798.217214
3760,2003,0.0902354660425615,340717.7095364
3760,2005,0.0923276704031753,363128.9416559
3760,2007,0.0813840697769527,373960.1090344
3760,2009,0.0965905279094394,342867.8087715
3760,2011,0.0957926986741256,327666.33420915
3760,2013,0.0952882049667107,329969.10804658
4480,1985,0.0611544049504186,1315292.66
4480,1987,0.0573163244138603,1312414.73
4480,1989,0.0451130833336267,1282353.8
4480,1991,0.0426060199747604,1279602.47
