"SMSA","Year","total","renters"
7400,2005,135,16
7400,2007,109,16
7400,2009,107,15
7400,2011,145,34
7400,2013,148,34
7600,1985,183,41
7600,1987,170,32
7600,1989,236,42
7600,1991,183,33
7600,1993,243,49
7600,1995,177,37
7600,1997,152,30
7600,1999,173,32
7600,2001,177,32
7600,2003,183,27
7600,2005,175,30
7600,2007,142,26
7600,2009,152,30
7600,2011,180,35
7600,2013,166,31
8280,1985,204,35
8280,1987,213,41
8280,1989,224,38
8280,1991,203,38
8280,1993,236,39
8280,1995,210,30
8280,1997,176,24
8280,1999,187,22
8280,2001,201,35
8280,2003,182,24
8280,2005,173,22
8280,2007,159,23
8280,2009,154,32
8280,2011,185,36
8280,2013,187,39
8840,1985,366,45
8840,1987,293,44
8840,1989,389,40
8840,1991,307,40
8840,1993,440,56
8840,1995,321,48
8840,1997,267,47
8840,1999,288,52
8840,2001,262,28
8840,2003,289,30
8840,2005,243,17
8840,2007,219,28
8840,2009,222,36
8840,2011,280,48
8840,2013,269,43
