"region","Year","rp_median"
5120,2009,0.0749823063450553
5120,2011,0.0935296672713622
5120,2013,0.0923928709453299
5380,1985,0.0626375721290376
5380,1987,0.0510540224369311
5380,1989,0.0550265544830237
5380,1991,0.0615492354916517
5380,1993,0.0696241799610148
5380,1995,0.0735814057511897
5380,1997,0.0703608519006229
5380,1999,0.0769304745192329
5380,2001,0.0638076351807883
5380,2003,0.0465008735821043
5380,2005,0.0476920219931165
5380,2007,0.0450157809794806
5380,2009,0.0520920240903822
5380,2011,0.0498151207618355
5380,2013,0.0512690769644585
5600,1985,0.0528033945943686
5600,1987,0.0405315328600782
5600,1989,0.044857038420363
5600,1991,0.0477945384742761
5600,1993,0.0501174020182805
5600,1995,0.0544939402061686
5600,1997,0.0581492435338361
5600,1999,0.0576269617252642
