"Year","region","name","state","cbsa","rp","tax_rate","vac_rate","interp_rp","interp_tax","interp_vac","net_yield","extrap_tax_1","net_yield_1","extrap_tax_0.5","net_yield_0.5"
1986,6280,"Pittsburgh","PA",38300,NA,NA,NA,0.0867176560120941,13.52,0.0301478053806476,0.0552572596091688,13.52,0.0552572596091688,13.52,0.0552572596091688
1987,6280,"Pittsburgh","PA",38300,0.0939978468750401,NA,0,0.0939978468750401,13.52,0,0.0644957896272249,13.52,0.0644957896272249,13.52,0.0644957896272249
1988,6280,"Pittsburgh","PA",38300,NA,NA,NA,0.090142859417444,13.52,0.07535413701902,0.0545541023165217,13.52,0.0545541023165217,13.52,0.0545541023165217
1989,6280,"Pittsburgh","PA",38300,0.0862878719598478,NA,0.15070827403804,0.0862878719598478,13.52,0.15070827403804,0.0451548746370318,13.52,0.0451548746370318,13.52,0.0451548746370318
1990,6280,"Pittsburgh","PA",38300,NA,13.52,NA,0.0882670685574478,13.52,0.07535413701902,0.0529346535797481,13.52,0.0529346535797481,13.52,0.0529346535797481
1991,6280,"Pittsburgh","PA",38300,0.0902462651550478,NA,0,0.0902462651550478,13.5976933333333,0,0.0609152444419348,13.5976933333333,0.0609152444419348,13.5976933333333,0.0609152444419348
1992,6280,"Pittsburgh","PA",38300,NA,NA,NA,0.0896575307699827,13.6753866666667,0,0.0602878498132662,13.6753866666667,0.0602878498132662,13.6753866666667,0.0602878498132662
1993,6280,"Pittsburgh","PA",38300,0.0890687963849176,NA,0,0.0890687963849176,13.75308,0,0.0596604551845976,13.75308,0.0596604551845976,13.75308,0.0596604551845976
1994,6280,"Pittsburgh","PA",38300,NA,NA,NA,0.0870830075481069,13.8307733333333,0,0.0577286308143341,13.8307733333333,0.0577286308143341,13.8307733333333,0.0577286308143341
1995,6280,"Pittsburgh","PA",38300,0.0850972187112962,NA,0,0.0850972187112962,13.9084666666667,0,0.0557968064440706,13.9084666666667,0.0557968064440706,13.9084666666667,0.0557968064440706
1996,6280,"Pittsburgh","PA",38300,NA,NA,NA,0.089026245522161,13.98616,0.0490443736806555,0.055310890468086,13.98616,0.055310890468086,13.98616,0.055310890468086
1997,6280,"Pittsburgh","PA",38300,0.0929552723330257,NA,0.0980887473613109,0.0929552723330257,14.0638533333333,0.0980887473613109,0.0544651327508731,14.0638533333333,0.0544651327508731,14.0638533333333,0.0544651327508731
1998,6280,"Pittsburgh","PA",38300,NA,NA,NA,0.0889303984312735,14.1415466666667,0.0937115271338219,0.0513614940714437,14.1415466666667,0.0513614940714437,14.1415466666667,0.0513614940714437
1999,6280,"Pittsburgh","PA",38300,0.0849055245295212,NA,0.0893343069063328,0.0849055245295212,14.21924,0.0893343069063328,0.0482249559880064,14.21924,0.0482249559880064,14.21924,0.0482249559880064
2000,6280,"Pittsburgh","PA",38300,NA,NA,NA,0.0902265412144679,14.2969333333333,0.0635857986430959,0.0548408330157009,14.2969333333333,0.0548408330157009,14.2969333333333,0.0548408330157009
2001,6280,"Pittsburgh","PA",38300,0.0955475578994146,NA,0.037837290379859,0.0955475578994146,14.3746266666667,0.037837290379859,0.0617125592346578,14.3746266666667,0.0617125592346578,14.3746266666667,0.0617125592346578
2002,6280,"Pittsburgh","PA",38300,NA,NA,NA,0.106711178499726,14.45232,0.0600690870884319,0.0694488501464318,14.45232,0.0694488501464318,14.45232,0.0694488501464318
2003,6280,"Pittsburgh","PA",38300,0.117874799100038,NA,0.0823008837970047,0.117874799100038,14.5300133333333,0.0823008837970047,0.0767216760125473,14.5300133333333,0.0767216760125473,14.5300133333333,0.0767216760125473
2004,6280,"Pittsburgh","PA",38300,NA,NA,NA,0.115768781448781,14.6077066666667,0.0939876900126073,0.0735761639429184,14.6077066666667,0.0735761639429184,14.6077066666667,0.0735761639429184
2005,6280,"Pittsburgh","PA",38300,0.113662763797524,14.6854,0.10567449622821,0.113662763797524,14.6854,0.10567449622821,0.0704766134802079,14.6854,0.0704766134802079,14.6854,0.0704766134802079
2006,6280,"Pittsburgh","PA",38300,NA,NA,NA,0.109116503554362,14.7232,0.130787121360668,0.064084015489835,14.7232,0.064084015489835,14.7232,0.064084015489835
2007,6280,"Pittsburgh","PA",38300,0.104570243311199,NA,0.155899746493125,0.104570243311199,14.761,0.155899746493125,0.0579046158109671,14.761,0.0579046158109671,14.761,0.0579046158109671
2008,6280,"Pittsburgh","PA",38300,NA,NA,NA,0.112595516769469,14.7988,0.122129954342748,0.0677420589022656,14.7988,0.0677420589022656,14.7988,0.0677420589022656
