"Year","region","name","state","cbsa","rp","WEIGHT","tax_rate","vac_rate","interp_rp","interp_WEIGHT","interp_tax","interp_vac","net_yield","extrap_tax_1","net_yield_1","extrap_tax_0.5","net_yield_0.5"
1991,5775,"Oakland","CA",36084,0.0507232401764904,465410.21,NA,0.0197780497408813,0.0507232401764904,465410.21,5.08724666666667,0.0197780497408813,0.0315863485275604,5.08724666666667,0.0315863485275604,5.08724666666667,0.0315863485275604
1992,5775,"Oakland","CA",36084,NA,NA,NA,NA,0.0530731500252698,469459.21,5.06449333333333,0.0203075102973255,0.0337335803533565,5.06449333333333,0.0337335803533565,5.06449333333333,0.0337335803533565
1993,5775,"Oakland","CA",36084,0.0554230598740492,473508.21,NA,0.0208369708537697,0.0554230598740492,473508.21,5.04174,0.0208369708537697,0.0358784887888751,5.04174,0.0358784887888751,5.04174,0.0358784887888751
1994,5775,"Oakland","CA",36084,NA,NA,NA,NA,0.0587003515670353,474210.245,5.01898666666667,0.0185719338740248,0.0390216314146508,5.01898666666667,0.0390216314146508,5.01898666666667,0.0390216314146508
1995,5775,"Oakland","CA",36084,0.0619776432600215,474912.28,NA,0.0163068968942798,0.0619776432600215,474912.28,4.99623333333333,0.0163068968942798,0.0421786360996025,4.99623333333333,0.0421786360996025,4.99623333333333,0.0421786360996025
1996,5775,"Oakland","CA",36084,NA,NA,NA,NA,0.0609001923559037,417413.76417725,4.97348,0.0175015428452909,0.0411438479546047,4.97348,0.0411438479546047,4.97348,0.0411438479546047
1997,5775,"Oakland","CA",36084,0.0598227414517859,359915.2483545,NA,0.018696188796302,0.0598227414517859,359915.2483545,4.95072666666667,0.018696188796302,0.0401114634752721,4.95072666666667,0.0401114634752721,4.95072666666667,0.0401114634752721
1998,5775,"Oakland","CA",36084,NA,NA,NA,NA,0.0624582622545042,423211.2404948,4.92797333333333,0.0243102823333691,0.0422215966049397,4.92797333333333,0.0422215966049397,4.92797333333333,0.0422215966049397
1999,5775,"Oakland","CA",36084,0.0650937830572225,486507.2326351,NA,0.0299243758704363,0.0650937830572225,486507.2326351,4.90522,0.0299243758704363,0.0443040995715932,4.90522,0.0443040995715932,4.90522,0.0443040995715932
2000,5775,"Oakland","CA",36084,NA,NA,NA,NA,0.0506310461680759,484558.2926708,4.88246666666667,0.0519388453526277,0.0301863733720031,4.88246666666667,0.0301863733720031,4.88246666666667,0.0301863733720031
2001,5775,"Oakland","CA",36084,0.0361683092789292,482609.3527065,NA,0.0739533148348191,0.0361683092789292,482609.3527065,4.85971333333333,0.0739533148348191,0.0166632076871318,4.85971333333333,0.0166632076871318,4.85971333333333,0.0166632076871318
2002,5775,"Oakland","CA",36084,NA,NA,NA,NA,0.0331003645855563,466145.05334885,4.83696,0.0616560929037542,0.0144133188954113,4.83696,0.0144133188954113,4.83696,0.0144133188954113
2003,5775,"Oakland","CA",36084,0.0300324198921835,449680.7539912,NA,0.0493588709726894,0.0300324198921835,449680.7539912,4.81420666666667,0.0493588709726894,0.0120929783364488,4.81420666666667,0.0120929783364488,4.81420666666667,0.0120929783364488
2004,5775,"Oakland","CA",36084,NA,NA,NA,NA,0.030568151717741,461763.67485985,4.79145333333333,0.0246794354863447,0.0132956422307499,4.79145333333333,0.0132956422307499,4.79145333333333,0.0132956422307499
2005,5775,"Oakland","CA",36084,0.0311038835432985,473846.5957285,4.7687,0,0.0311038835432985,473846.5957285,4.7687,0,0.0145229960643778,4.7687,0.0145229960643778,4.7687,0.0145229960643778
2006,5775,"Oakland","CA",36084,NA,NA,NA,NA,0.0294292102128076,481843.41214912,5.29174285714286,0.022165190303314,0.0118272544318856,5.29174285714286,0.0118272544318856,5.29174285714286,0.0118272544318856
2007,5775,"Oakland","CA",36084,0.0277545368823167,489840.22856974,NA,0.0443303806066279,0.0277545368823167,489840.22856974,5.81478571428571,0.0443303806066279,0.00920082966604922,5.81478571428571,0.00920082966604922,5.81478571428571,0.00920082966604922
2008,5775,"Oakland","CA",36084,NA,NA,NA,NA,0.0355420384286644,499560.18598196,6.33782857142857,0.0557484926204521,0.0152477254613049,6.33782857142857,0.0152477254613049,6.33782857142857,0.0152477254613049
2009,5775,"Oakland","CA",36084,0.043329539975012,509280.14339418,NA,0.0671666046342763,0.043329539975012,509280.14339418,6.86087142857143,0.0671666046342763,0.0211285747283469,6.86087142857143,0.0211285747283469,6.86087142857143,0.0211285747283469
2010,5775,"Oakland","CA",36084,NA,NA,NA,NA,0.0455997571811618,499599.739524325,7.38391428571428,0.0795065720489427,0.0220574679637748,7.38391428571428,0.0220574679637748,7.38391428571428,0.0220574679637748
2011,5775,"Oakland","CA",36084,0.0478699743873116,489919.33565447,NA,0.0918465394636091,0.0478699743873116,489919.33565447,7.90695714285714,0.0918465394636091,0.0229340470967883,7.90695714285714,0.0229340470967883,7.90695714285714,0.0229340470967883
2012,5775,"Oakland","CA",36084,NA,NA,8.43,NA,0.0444850434858405,494570.94073954,8.43,0.0581458563702014,0.020940557122508,8.43,0.020940557122508,8.43,0.020940557122508
2013,5775,"Oakland","CA",36084,0.0411001125843693,499222.54582461,NA,0.0244451732767938,0.0411001125843693,499222.54582461,8.43,0.0244451732767938,0.0192570873146893,9.14480334822065,0.0185422839664686,8.78740167411033,0.018899685640579
2014,5775,"Oakland","CA",36084,NA,NA,NA,NA,0.0411001125843693,499222.54582461,8.43,0.0244451732767938,0.0192570873146893,9.9202168775359,0.0177668704371534,9.1599558934943,0.018527131421195
1985,5880,"Oklahoma City","OK",36420,0.0700783029666068,231723.46,6.82,0.189862639378911,0.0700783029666068,231723.46,6.82,0.189862639378911,0.0364389980942079,6.82,0.0364389980942079,6.82,0.0364389980942079
1986,5880,"Oklahoma City","OK",36420,NA,NA,NA,NA,0.0752864632023824,236045.185,6.82,0.147522250060841,0.0433548984476103,6.82,0.0433548984476103,6.82,0.0433548984476103
1987,5880,"Oklahoma City","OK",36420,0.0804946234381581,240366.91,NA,0.105181860742771,0.0804946234381581,240366.91,6.82,0.105181860742771,0.0506825895054949,6.82,0.0506825895054949,6.82,0.0506825895054949
1988,5880,"Oklahoma City","OK",36420,NA,NA,NA,NA,0.0922153562408106,231347.82,6.82,0.0720964348214463,0.0633238685165886,6.82,0.0633238685165886,6.82,0.0633238685165886
1989,5880,"Oklahoma City","OK",36420,0.103936089043463,222328.73,NA,0.0390110089001217,0.103936089043463,222328.73,6.82,0.0390110089001217,0.0766892980525229,6.82,0.0766892980525229,6.82,0.0766892980525229
1990,5880,"Oklahoma City","OK",36420,NA,NA,6.82,NA,0.111483085871742,214141.545,6.82,0.0806219526225394,0.0791296765547462,6.82,0.0791296765547462,6.82,0.0791296765547462
1991,5880,"Oklahoma City","OK",36420,0.119030082700022,205954.36,NA,0.122232896344957,0.119030082700022,205954.36,6.84045333333333,0.122232896344957,0.0809631677968018,6.84045333333333,0.0809631677968018,6.84045333333333,0.0809631677968018
1992,5880,"Oklahoma City","OK",36420,NA,NA,NA,NA,0.124389740312878,214148.055,6.86090666666667,0.0766067208578585,0.0906344824242777,6.86090666666667,0.0906344824242777,6.86090666666667,0.0906344824242777
